scorer,,,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen,allen
bodyparts,,,left_shoulder,left_shoulder,right_shoulder,right_shoulder,left_elbow,left_elbow,right_elbow,right_elbow,left_wrist,left_wrist,right_wrist,right_wrist,left_hip,left_hip,right_hip,right_hip,left_knee,left_knee,right_knee,right_knee,left_ankle,left_ankle,right_ankle,right_ankle,left_heel,left_heel,right_heel,right_heel,left_foot_index,left_foot_index,right_foot_index,right_foot_index
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,Video 1 - Before,img0126.png,,,1014.8469502892768,369.6422101536864,,,1062.5598165519793,508.9637796407784,,,1171.3451516309417,552.859616602465,,,829.7210291899902,514.6893235923027,,,953.7744814730173,661.6449516814272,,,936.5978496184442,852.496416732238,,,925.1467617153957,886.849680441384,,,986.2192305316552,898.3007683444328
labeled-data,Video 1 - Before,img0370.png,,,1018.663979590293,373.4592394547027,,,1064.4683312024874,505.1467503397622,,,1171.3451516309417,552.859616602465,,,827.812514539482,514.6893235923027,,,934.6893349679361,673.0960395844758,,,841.1721170930388,835.3197848776651,,,812.5443973354171,862.0389899847785,,,871.7083515011685,896.3922536939247
labeled-data,Video 1 - Before,img0374.png,,,1016.7554649397849,375.3677541052108,,,1062.5598165519793,505.1467503397622,,,1169.4366369804336,549.0425873014487,,,825.9039998889739,512.7808089417946,,,961.4085400750497,644.4683198268542,,,833.5380584910064,787.6069186149623,,,799.1847947818604,806.6920651200435,,,856.4402342971036,846.7708727807137
labeled-data,Video 1 - Before,img0426.png,,,1012.9384356387687,375.3677541052108,,,1062.5598165519793,503.2382356892541,,,1167.5281223299255,547.1340726509407,,,823.9954852384658,505.1467503397621,,,1009.1214063377525,564.3107045055136,,,923.2382470648876,739.8940523522597,,,904.1531005598064,770.4302867603894,,,972.8596279780983,779.9728600129299
labeled-data,Video 1 - Before,img0534.png,,,1011.0299209882606,375.3677541052108,,,,,,,1167.5281223299255,547.1340726509407,,,822.0869705879577,508.9637796407783,,,999.5788330852118,600.5724828651677,,,858.3487489476117,726.5344497987028,,,822.0869705879577,755.1621695563244,,,883.1594394042172,787.6069186149623
labeled-data,Video 1 - Before,img0712.png,,,1035.840611444866,424.9891350184216,,,,,,,1156.0770344268767,608.2065414672002,,,833.5380584910064,516.5978382428108,,,921.3297324143795,682.6386128370164,,,886.9764687052334,869.6730485868111,,,860.25726359812,902.117797645449,,,923.2382470648876,925.0199734515463
labeled-data,Video 1 - Before,img0723.png,,,1030.1150674933415,424.9891350184216,,,,,,,1156.0770344268767,608.2065414672002,,,829.7210291899902,512.7808089417946,,,984.3107158811471,625.383173321773,,,843.0806317435469,753.2536549058163,,,810.635882684909,776.1558307119137,,,864.0742928991361,814.3261237220759
labeled-data,Video 1 - Before,img0756.png,,,1030.1150674933415,421.17210571740543,,,,,,,1156.0770344268767,608.2065414672002,,,829.7210291899902,514.6893235923027,,,948.048937521493,659.736437030919,,,839.2636024425307,810.5090944210597,,,801.0933094323685,841.0453288291894,,,860.25726359812,873.4900778878273
labeled-data,Video 1 - Before,img0773.png,,,1022.4810088913092,421.17210571740543,,,,,,,1152.2600051258605,606.2980268166921,,,827.812514539482,501.3297210387459,,,1012.9384356387687,577.6703070590704,,,938.5063642689523,755.1621695563244,,,921.3297324143795,793.3324625664866,,,990.0362598326714,795.2409772169949
labeled-data,Video 1 - Before,img0782.png,,,1022.4810088913092,421.17210571740543,,,,,,,1152.2600051258605,606.2980268166921,,,829.7210291899902,512.7808089417946,,,949.9574521720011,671.1875249339677,,,930.8723056669199,858.2219606837623,,,915.6041884628552,896.3922536939247,,,978.5851719296228,907.8433415969732
labeled-data,Video 1 - Before,img0925.png,,,1022.4810088913092,415.44656176588103,,,,,,,1152.2600051258605,604.389512166184,,,825.9039998889739,503.238235689254,,,997.6703184347037,608.2065414672,,,951.8659668225092,793.3324625664866,,,936.5978496184442,835.3197848776651,,,1001.4873477357199,837.2282995281732
labeled-data,Video 1 - Before,img1063.png,,,1022.4810088913092,413.53804711537293,,,,,,,1152.2600051258605,604.389512166184,,,825.9039998889739,503.238235689254,,,1009.1214063377525,577.6703070590703,,,877.4338954526929,715.0833618956542,,,844.989146394055,743.7110816532759,,,907.9701298608227,768.5217721098813
labeled-data,Video 1 - Before,img1139.png,,,1026.2980381923253,419.26359106689733,,,,,,,1152.2600051258605,604.389512166184,,,825.9039998889739,499.4212063882378,,,1009.1214063377525,566.2192191560217,,,898.4275566082821,715.0833618956542,,,865.9828075496442,745.619596303784,,,928.9637910164118,762.7962281583568
labeled-data,Video 1 - Before,img1257.png,,,1024.3895235418172,415.44656176588103,,,,,,,1152.2600051258605,604.389512166184,,,825.9039998889739,499.4212063882378,,,1007.2128916872445,581.4873363600866,,,944.2319082204766,762.7962281583568,,,927.0552763659038,797.149491867503,,,990.0362598326714,804.7835504695354
labeled-data,Video 1 - Before,img1356.png,,,1054.925757949947,445.9827961740108,,,,,,,1186.6132688350065,549.0425873014487,,,827.812514539482,507.0552649902702,,,984.3107158811471,631.1087172732974,,,846.8976610445632,757.0706842068325,,,810.635882684909,778.0643453624218,,,865.9828075496442,818.143153023092
labeled-data,Video 1 - Before,img1472.png,,,1047.2916993479146,432.623193620454,,,,,,,1190.4302981360229,549.0425873014487,,,827.812514539482,501.3297210387459,,,1012.9384356387687,568.1277338065298,,,892.7020126567578,715.0833618956542,,,865.9828075496442,743.7110816532759,,,925.1467617153957,766.6132574593732
labeled-data,Video 1 - Before,img1602.png,,,1051.1087286489308,430.7146789699459,,,,,,,1194.247327437039,549.0425873014489,,,831.6295438404983,510.8722942912864,,,930.8723056669199,680.7300981865083,,,860.25726359812,852.496416732238,,,829.7210291899902,881.1241364898597,,,890.7934980062497,913.5688855484975
labeled-data,Video 1 - Before,img1624.png,,,1043.4746700468984,424.9891350184216,,,,,,,1192.338812786531,549.0425873014489,,,829.7210291899902,501.3297210387459,,,1009.1214063377525,594.8469389136434,,,949.9574521720011,779.9728600129299,,,930.8723056669199,818.143153023092,,,997.6703184347037,820.0516676736002
labeled-data,Video 1 - Before,img1694.png,,,1043.4746700468984,423.0806203679135,,,,,,,1192.338812786531,549.0425873014489,,,829.7210291899902,497.5126917377297,,,1011.0299209882606,573.8532777580541,,,938.5063642689523,751.3451402553083,,,917.5127031133633,787.6069186149623,,,982.402201230639,795.2409772169949
labeled-data,Video 1 - Before,img1811.png,,,1043.4746700468984,428.8061643194378,,,,,,,1192.338812786531,549.0425873014489,,,837.3550877920226,510.8722942912864,,,961.4085400750497,663.5534663319353,,,934.6893349679361,854.4049313827461,,,919.4212177638714,892.5752243929085,,,988.1277451821633,896.3922536939247
